ts,winner,stake,return,status,odds
2018-05-13 15:44,Sadanoumi,20,43,Won,2.15
2018-05-13 15:44,Mitakeumi,20,0,Lost,3.6
2018-05-12 20:11,Aminishiki,20,0,Lost,2.34
2018-05-12 20:11,Kakuryu,20,28,Won,1.4
2018-05-12 20:11,Tamawashi,10,0,Lost,4.55
2018-05-12 20:10,Chiyotairyu,20,40.2,Won,2.01
2018-05-12 20:10,Kyokutaisei,20,0,Lost,1.9
2018-05-12 20:10,Hokutofuji,20,0,Lost,2.34
2018-05-12 20:10,Chiyoshoma,20,0,Lost,2.15
2018-05-12 20:09,Sadanoumi,20,44.8,Won,2.24
2018-05-12 20:09,Chiyomaru,20,0,Lost,2.28
