ts,winner,stake,return,status,odds
2018-03-24 10:50,Chiyomaru,20,0,Lost,3.1
2018-03-24 10:50,Okinoumi,20,38,Won,1.9
2018-03-24 10:44,Takayasu,20,51.8,Won,2.59
2018-03-24 10:44,Mitakeumi,20,55.8,Won,2.79
2018-03-24 10:43,Ryuden,20,44.8,Won,2.24
2018-03-24 10:38,Myogiryu,20,0,Lost,1.9
2018-03-24 10:38,Hokutofuji,20,0,Lost,2.19
2018-03-24 10:23,Shodai,20,0,Lost,1.75
2018-03-24 10:23,Kaisei,20,41.2,Won,2.06
2018-03-24 10:23,Arawashi,20,0,Lost,2.53
2018-03-23 13:58,Yutakayama,15,30.9,Won,2.06
2018-03-23 12:50,Kakuryu,15,21,Won,1.4
2018-03-23 12:50,Daishomaru,15,0,Lost,2.59
2018-03-23 12:44,Tochiozan,15,27.75,Won,1.85
2018-03-23 12:43,Okinoumi,15,0,Lost,1.7
2018-03-13 10:44,Chiyonokuni,20,0,Lost,1.8
2018-03-13 10:44,Kagayaki,10,0,Lost,1.909
2018-03-13 10:43,Hidenoumi,20,0,Lost,2.59
2018-03-13 10:42,Ikioi,20,37.6,Won,1.88
2018-03-13 10:41,Nishikigi,20,0,Lost,2.34
2018-03-13 10:41,Takayasu,20,39.8,Won,1.99
2018-03-13 10:40,Mitakeumi,20,45.6,Won,2.28
2018-03-13 10:32,Shohozan,20,49,Won,2.45
2018-03-12 10:39,Abi,20,41.6,Won,2.08
2018-03-12 10:25,Kakuryu,20,30.6,Won,1.53
2018-03-12 10:14,Mitakeumi,20,0,Lost,1.58
2018-03-12 10:12,Aoiyama,20,41.6,Won,2.08
2018-03-12 10:11,Takayasu,20,29.8,Won,1.49
2018-03-12 10:11,Kaisei,20,34.4,Won,1.72
2018-03-12 10:10,Myogiryu,20,37.6,Won,1.88
2018-03-11 11:07,Kagayaki,20,41.6,Won,2.08
2018-03-11 11:05,Daishomaru,20,0,Lost,2.08
2018-03-11 11:05,Hidenoumi,20,39.8,Won,1.99
2018-03-11 11:04,Yutakayama,20,44,Won,2.2
2018-03-11 11:03,Abi,20,0,Lost,2.08
2018-03-11 11:03,Chiyomaru,20,0,Lost,2.34
2018-03-11 11:03,Chiyotairyu,20,0,Lost,2.65
2018-03-10 10:41,Kyokutaisei,20,0,Lost,2.15
2018-03-10 10:40,Hidenoumi,20,0,Lost,2.04
2018-03-10 10:40,Chiyomaru,20,0,Lost,2.45
2018-03-10 10:39,Takayasu,20,0,Lost,1.55
2018-03-10 10:39,Myogiryu,20,0,Lost,2.15
2018-03-23 12:43,Yoshikaze,15,36.45,Won,2.43
2018-03-23 12:42,Ryuden,15,27.6,Won,1.84
2018-03-23 12:42,Abi,15,33.6,Won,2.24
2018-03-23 12:42,Tamawashi,15,30.75,Won,2.05
2018-03-23 12:42,Hokutofuji,15,0,Lost,2.28
2018-03-23 12:41,Kagayaki,15,0,Lost,2.02
2018-03-23 12:41,Ishiura,15,0,Lost,2.24
2018-03-23 12:41,Kyokushuho,15,35.1,Won,2.34
2018-03-22 17:51,Yutakayama,15,28.2,Won,1.88
2018-03-22 17:51,Kagayaki,15,25.95,Won,1.73
2018-03-22 17:50,Tamawashi,15,0,Lost,1.46
2018-03-22 17:50,Chiyoshoma,15,28.8,Won,1.92
2018-03-22 17:49,Takayasu,15,24.9,Won,1.66
2018-03-22 17:48,Meisei,15,0,Lost,1.94
2018-03-22 17:48,Abi,15,27,Won,1.8
2018-03-22 17:47,Daieisho,15,0,Lost,1.98
2018-03-22 17:46,Chiyonokuni,15,0,Lost,2.2
2018-03-22 17:44,Mitakeumi,15,25.91,Won,1.727
2018-03-21 10:28,Tochinoshin,12,54.6,Won,4.55
2018-03-21 10:23,Goeido,15,26.25,Won,1.75
2018-03-21 10:21,Daiamami,15,0,Lost,2.22
2018-03-21 10:20,Mitakeumi,15,0,Lost,1.6
2018-03-21 10:20,Arawashi,15,0,Lost,2.41
2018-03-21 10:20,Endo,15,30,Won,2
2018-03-21 10:17,Chiyonokuni,15,0,Lost,1.82
2018-03-21 10:16,Okinoumi,15,0,Lost,1.9
2018-03-21 10:16,Tamawashi,15,21.6,Won,1.44
2018-03-21 10:16,Tochiozan,15,0,Lost,2.05
2018-03-21 10:16,Asanoyama,15,0,Lost,2.15
2018-03-21 10:16,Abi,15,33.6,Won,2.24
2018-03-21 10:15,Ishiura,15,35.7,Won,2.38
2018-03-20 21:41,Tochiozan,10,0,Lost,2.05
2018-03-20 15:15,Kyokutaisei,10,22.2,Won,2.22
2018-03-20 12:28,Takakeisho,10,10,Won,2.59
2018-03-20 12:25,Daishomaru,10,16,Won,1.6
2018-03-20 11:58,Takakeisho,10,10,Won,2.5
2018-03-20 11:56,Ryuden,10,22.5,Won,2.25
2018-03-20 11:55,Chiyoshoma,10,25,Won,2.5
2018-03-20 11:54,Hokutofuji,10,22.4,Won,2.24
2018-03-20 11:52,Takakeisho,10,10,Won,2.34
2018-03-20 11:50,Kotoshogiku,10,0,Lost,2.34
2018-03-20 11:45,Endo,10,18,Won,1.8
2018-03-20 11:42,Arawashi,10,22.8,Won,2.28
2018-03-20 11:41,Mitakeumi,10,0,Lost,1.55
2018-03-20 11:41,Goeido,10,16.5,Won,1.65
2018-03-20 11:41,Kakuryu,10,17,Won,1.7
2018-03-19 15:25,Ikioi,27.5,0,Lost,2.28
2018-03-19 15:12,Okinoumi,20,38,Won,1.9
2018-03-19 15:11,Hidenoumi,20,0,Lost,2.76
2018-03-19 15:11,Kotoyuki,20,0,Lost,2.05
2018-03-19 14:02,Chiyonokuni,20,33.33,Won,1.666
2018-03-19 14:01,Myogiryu,20,0,Lost,2.22
2018-03-19 13:58,Ikioi,20,0,Lost,2.19
2018-03-19 13:58,Ikioi,20,0,Lost,2.19
2018-03-19 13:55,Takakeisho,20,0,Lost,1.88
2018-03-19 11:49,Endo,20,29,Won,1.45
2018-03-19 11:31,Ichinojo,20,32,Won,1.6
2018-03-19 11:31,Tamawashi,20,0,Lost,1.59
2018-03-19 11:30,Mitakeumi,20,0,Lost,1.68
2018-03-19 11:29,Takayasu,20,27.27,Won,1.363
2018-03-18 23:21,Myogiryu,20.93,0,Lost,2.5
2018-03-18 23:20,Ryuden,20,0,Lost,2.45
2018-03-18 23:19,Mitakeumi,20,0,Lost,1.5
2018-03-18 21:22,Goeido,25,0,Lost,1.39
2018-03-18 21:21,Tochiozan,25,0,Lost,2.25
2018-03-18 21:21,Arawashi,25,58.75,Won,2.35
2018-03-18 21:08,Takakeisho,25,0,Lost,2.71
2018-03-18 13:48,Nishikigi,25,61.25,Won,2.45
2018-03-18 12:51,Hidenoumi,25,0,Lost,2.01
2018-03-18 12:34,Daieisho,25,0,Lost,2.24
2018-03-18 12:28,Chiyonokuni,25,0,Lost,2.08
2018-03-18 12:16,Okinoumi,25,0,Lost,2.12
2018-03-18 12:16,Chiyoshoma,25,0,Lost,2.24
2018-03-18 12:11,Arawashi,25,53,Won,2.12
2018-03-18 12:07,Tamawashi,25,43.25,Won,1.73
2018-03-18 11:01,Goeido,25,0,Lost,1.363
2018-03-18 11:01,Takayasu,25,36.75,Won,1.47
2018-03-18 10:55,Goeido,25,0,Lost,1.33
2018-03-18 10:54,Mitakeumi,25,0,Lost,1.44
2018-03-18 10:54,Takakeisho,25,0,Lost,2.45
2018-03-18 10:51,Takayasu,25,34.5,Won,1.38
2018-03-17 15:07,Kyokutaisei,20,0,Lost,2.35
2018-03-17 15:06,Daiamami,20,44,Won,2.2
2018-03-17 15:06,Asanoyama,20,0,Lost,1.63
2018-03-17 15:05,Kotoyuki,20,0,Lost,2.24
2018-03-17 15:05,Chiyoshoma,20,44.8,Won,2.24
2018-03-17 15:04,Chiyomaru,20,0,Lost,2.45
2018-03-17 10:53,Kakuryu,20,25.8,Won,1.29
2018-03-17 10:53,Goeido,20,29.6,Won,1.48
2018-03-17 10:53,Takayasu,20,31.6,Won,1.58
2018-03-16 19:25,Hidenoumi,20,0,Lost,2.38
2018-03-16 19:22,Takayasu,20,28.8,Won,1.44
2018-03-16 19:21,Ikioi,20,43.8,Won,2.19
2018-03-16 19:21,Tamawashi,20,57.5,Won,2.875
2018-03-16 19:19,Azumaryu,20,0,Lost,2.24
2018-03-16 10:43,Tamawashi,20,51.8,Won,2.59
2018-03-16 10:16,Okinoumi,20,38,Won,1.9
2018-03-16 10:15,Chiyomaru,20,46,Won,2.3
2018-03-16 10:15,Hokutofuji,20,0,Lost,2.14
2018-03-16 10:15,Shodai,20,41.2,Won,2.06
2018-03-16 10:15,Daishomaru,20,32,Won,1.6
2018-03-16 10:14,Ikioi,20,43,Won,2.15
2018-03-15 21:26,Ikioi,20,0,Lost,2.09
2018-03-15 21:25,Hokutofuji,20,41.6,Won,2.08
2018-03-15 21:25,Kakuryu,20,24.8,Won,1.24
2018-03-15 21:24,Takayasu,20,25.2,Won,1.26
2018-03-15 21:24,Hidenoumi,20,46.4,Won,2.32
2018-03-15 21:23,Chiyotairyu,20,0,Lost,3.32
2018-03-15 10:27,Yutakayama,20,38,Won,1.9
2018-03-15 10:26,Chiyomaru,20,51.8,Won,2.59
2018-03-15 10:25,Hidenoumi,20,44.8,Won,2.24
2018-03-15 10:23,Chiyotairyu,20,0,Lost,2.96
2018-03-15 10:22,Goeido,20,33,Won,1.65
2018-03-15 10:21,Ikioi,20,0,Lost,2.15
2018-03-14 12:29,Hidenoumi,20,0,Lost,2.01
2018-03-14 12:11,Mitakeumi,20,33.6,Won,1.68
2018-03-14 12:11,Takayasu,20,30,Won,1.5
2018-03-14 12:11,Daieisho,20,43,Won,2.15
2018-03-13 10:46,Shodai,20,0,Lost,2.15
2018-03-13 10:45,Tochiozan,20,20,Won,1.909
