ts,rikishi1,rikishi2,outcome,stake,odds,status,return
2018-05-26 19:38,Nishikigi,Asanoyama,W2,13.4,1.64,loss,0
2018-05-26 19:37,Chiyonokuni,Kagayaki,W2,20,2.3,loss,0
2018-05-26 13:06,Tamawashi,Shodai,W1,20,1.8,win,36
2018-05-26 13:06,Kotoshogiku,Myogiryu,W2,20,2.42,win,48.4
2018-05-26 13:05,Chiyoshoma,Endo,W2,16,2.13,loss,0
2018-05-26 13:04,Yoshikaze,Abi,W2,20,1.67,loss,0
2018-05-26 12:32,Okinoumi,Takekaze,W1,20,1.67,loss,0
2018-05-26 12:25,Takanosho,Aminishiki,W1,20,2,win,39.9
2018-05-26 12:24,Ishiura,Kyokushuho,W2,20,2.64,loss,0
2018-05-25 12:38,Mitakeumi,Shodai,W1,22.68,1.67,loss,0
2018-05-25 12:38,Yutakayama,Abi,W2,20,1.64,win,32.8
2018-05-25 12:23,Chiyoshoma,Takekaze,W1,20,1.77,win,35.4
2018-05-25 12:23,Okinoumi,Takarafuji,W2,20,1.67,win,33.4
2018-05-25 12:08,Tochiozan,Chiyonokuni,W2,20,1.72,win,34.4
2018-05-25 12:07,Myogiryu,Takakeisho,W2,20,1.67,win,33.4
2018-05-24 13:18,Ikioi,Hakuho,W2,20,1.25,win,25
2018-05-24 13:18,Okinoumi,Aminishiki,W1,20,1.49,loss,0
2018-05-24 13:17,Mitakeumi,Kotoshogiku,W1,20,1.72,win,34.4
2018-05-24 11:45,Takekaze,Asanoyama,W2,20,1.59,loss,0
2018-05-24 11:44,Myogiryu,Kagayaki,W2,20,1.72,win,34.4
2018-05-23 13:19,Ryuden,Sadanoumi,W2,13.73,2.05,win,28.08
2018-05-23 13:09,Myogiryu,Takarafuji,W2,20,1.72,loss,0
2018-05-23 13:08,Mitakeumi,Chiyotairyu,W1,20,1.6,loss,0
2018-05-23 12:49,Kotoshogiku,Ichinoj,W2,20,1.79,loss,0
2018-05-23 12:45,Kaisei,Endo,W2,20,1.77,loss,0
2018-05-23 12:45,Kakuryu,Ikioi,W1,20,1.55,win,31
2018-05-23 12:38,Arawashi,Asanoyama,W2,20,1.87,win,37.4
2018-05-23 12:38,Daieisho,Abi,W2,20,1.77,loss,0
2018-05-23 12:37,Chiyoshoma,Takakeisho,W2,20,1.62,win,32.4
2018-05-22 13:01,Shohozan,Abi,W2,20,1.7,loss,0
2018-05-22 13:00,Chiyoshoma,Okinoumi,W2,20,1.82,loss,0
2018-05-21 12:32,Aminishiki,Asanoyama,W2,15,1.44,loss,0
2018-05-21 12:32,Tochiozan,Takakeisho,W2,20,1.77,win,35.4
2018-05-21 12:31,Daishomaru,Takekaze,W1,20,1.82,win,36.4
2018-05-21 12:31,Ishiura,Kagayaki,W2,20,1.8,win,36
2018-05-21 12:31,Mitakeumi,Ikioi,W1,20,1.43,win,28.6
2018-05-21 12:30,Shodai,Ichinoj,W2,20,1.87,win,37.4
2018-05-21 12:30,Kakuryu,Kotoshogiku,W1,20,1.39,win,27.8
2018-05-20 12:44,Kotoshogiku,Hakuho,W2,25,1.17,win,29.25
2018-05-20 12:26,Mitakeumi,Yutakayama,W1,20,1.46,win,29.2
2018-05-20 12:18,Onosho,Aminishiki,W1,20,1.57,win,31.4
2018-05-20 12:18,Takekaze,Chiyonokuni,W2,20,1.67,win,33.4
2018-05-19 12:33,Ishiura,Chiyonokuni,W2,20,1.46,win,29.2
2018-05-19 12:32,Myogiryu,Asanoyama,W2,20,1.76,loss,0
2018-05-19 12:31,Daieisho,Goeido,W2,20,1.49,loss,0
2018-05-19 12:30,Mitakeumi,Shohozan,W1,20,1.55,win,31
2018-05-19 12:30,Sadanoumi,Takekaze,W1,20,1.88,loss,0
2018-05-18 13:52,Abi,Goeido,W2,20,1.54,loss,0
2018-05-18 13:52,Aoiyama,Chiyonokuni,W2,20,1.56,win,31.2
2018-05-18 13:22,Shohozan,Ichinoj,W2,20,1.67,loss,0
2018-05-18 13:07,Yoshikaze,Ikioi,W2,20,1.92,win,38.4
2018-05-17 18:15,Sadanoumi,Aminishiki,W1,20,1.67,win,33.4
2018-05-17 18:14,Chiyotairyu,Goeido,W2,20,1.67,loss,0
2018-05-16 15:11,Shohozan,Chiyotairyu,W2,20,1.72,win,34.4
2018-05-16 15:11,Mitakeumi,Tamawashi,W1,20,1.51,win,30.2
2018-05-16 15:09,Yoshikaze,Takarafuji,W2,20,1.72,loss,0
2018-05-15 20:54,Kakuryu,Shohozan,W1,20,1.26,loss,0
2018-05-15 20:54,Tamawashi,Goeido,W2,20,1.72,loss,0
2018-05-14 18:25,Shohozan,Hakuho,W2,20,1.31,win,26.2
2018-05-14 18:24,Daiamami,Takakeisho,W2,20,1.91,loss,0
2018-05-14 18:24,Endo,Goeido,W2,20,1.67,loss,0
2018-05-13 16:46,Kakuryu,Tamawashi,W1,20,1.41,win,28.16
2018-05-13 16:46,Shohozan,Goeido,W2,20,1.5,win,30.08
2018-05-12 21:13,Kakuryu,Endo,W1,20,1.41,win,28.16
